nohup: ignoring input
/home/chiara/anaconda3/envs/MGS/lib/python3.12/site-packages/torch/nn/modules/transformer.py:306: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
DEVICE: cuda
Train dataset size: 457
Test dataset size: 51
Train dataset shape: torch.Size([1550]), torch.Size([240])
Test dataset shape: torch.Size([1550]), torch.Size([240])
Epoch 1/500 - Loss: 0.3876
Epoch 2/500 - Loss: 0.1691
Epoch 3/500 - Loss: 0.1480
Epoch 4/500 - Loss: 0.1135
Epoch 5/500 - Loss: 0.0936
Epoch 6/500 - Loss: 0.0945
Epoch 7/500 - Loss: 0.0941
Epoch 8/500 - Loss: 0.0985
Epoch 9/500 - Loss: 0.0855
Epoch 10/500 - Loss: 0.0999
Epoch 11/500 - Loss: 0.0779
Epoch 12/500 - Loss: 0.0979
Epoch 13/500 - Loss: 0.0874
Epoch 14/500 - Loss: 0.1019
Epoch 15/500 - Loss: 0.0853
Epoch 16/500 - Loss: 0.0939
Epoch 17/500 - Loss: 0.0966
Epoch 18/500 - Loss: 0.0881
Epoch 19/500 - Loss: 0.0894
Epoch 20/500 - Loss: 0.0925
Epoch 21/500 - Loss: 0.0977
Epoch 22/500 - Loss: 0.0962
Epoch 23/500 - Loss: 0.0982
Epoch 24/500 - Loss: 0.0861
Epoch 25/500 - Loss: 0.0862
Epoch 26/500 - Loss: 0.1003
Epoch 27/500 - Loss: 0.0912
Epoch 28/500 - Loss: 0.0875
Epoch 29/500 - Loss: 0.0991
Epoch 30/500 - Loss: 0.0949
Epoch 31/500 - Loss: 0.0912
Epoch 32/500 - Loss: 0.1027
Epoch 33/500 - Loss: 0.0856
Epoch 34/500 - Loss: 0.0818
Epoch 35/500 - Loss: 0.0801
Epoch 36/500 - Loss: 0.0970
Epoch 37/500 - Loss: 0.0903
Epoch 38/500 - Loss: 0.0993
Epoch 39/500 - Loss: 0.0866
Epoch 40/500 - Loss: 0.0934
Epoch 41/500 - Loss: 0.0912
Epoch 42/500 - Loss: 0.0828
Epoch 43/500 - Loss: 0.0714
Epoch 44/500 - Loss: 0.0849
Epoch 45/500 - Loss: 0.0837
Epoch 46/500 - Loss: 0.0902
Epoch 47/500 - Loss: 0.0784
Epoch 48/500 - Loss: 0.0908
Epoch 49/500 - Loss: 0.0928
Epoch 50/500 - Loss: 0.0956
Epoch 51/500 - Loss: 0.0647
Epoch 52/500 - Loss: 0.0915
Epoch 53/500 - Loss: 0.0749
Epoch 54/500 - Loss: 0.0757
Epoch 55/500 - Loss: 0.0721
Epoch 56/500 - Loss: 0.0852
Epoch 57/500 - Loss: 0.0821
Epoch 58/500 - Loss: 0.0742
Epoch 59/500 - Loss: 0.0855
Epoch 60/500 - Loss: 0.0900
Epoch 61/500 - Loss: 0.0876
Epoch 62/500 - Loss: 0.0865
Epoch 63/500 - Loss: 0.0931
Epoch 64/500 - Loss: 0.0812
Epoch 65/500 - Loss: 0.0903
Epoch 66/500 - Loss: 0.0907
Epoch 67/500 - Loss: 0.0801
Epoch 68/500 - Loss: 0.0796
Epoch 69/500 - Loss: 0.0854
Epoch 70/500 - Loss: 0.0948
Epoch 71/500 - Loss: 0.0889
Epoch 72/500 - Loss: 0.0823
Epoch 73/500 - Loss: 0.0764
Epoch 74/500 - Loss: 0.0688
Epoch 75/500 - Loss: 0.0828
Epoch 76/500 - Loss: 0.0845
Epoch 77/500 - Loss: 0.0915
Epoch 78/500 - Loss: 0.0832
Epoch 79/500 - Loss: 0.0671
Epoch 80/500 - Loss: 0.1040
Epoch 81/500 - Loss: 0.0808
Epoch 82/500 - Loss: 0.0733
Epoch 83/500 - Loss: 0.0994
Epoch 84/500 - Loss: 0.0820
Epoch 85/500 - Loss: 0.0907
Epoch 86/500 - Loss: 0.0665
Epoch 87/500 - Loss: 0.0896
Epoch 88/500 - Loss: 0.0884
Epoch 89/500 - Loss: 0.0807
Epoch 90/500 - Loss: 0.0960
Epoch 91/500 - Loss: 0.0871
Epoch 92/500 - Loss: 0.0729
Epoch 93/500 - Loss: 0.0742
Epoch 94/500 - Loss: 0.1048
Epoch 95/500 - Loss: 0.0823
Epoch 96/500 - Loss: 0.0776
Epoch 97/500 - Loss: 0.0796
Epoch 98/500 - Loss: 0.0812
Epoch 99/500 - Loss: 0.0773
Epoch 100/500 - Loss: 0.0840
Epoch 101/500 - Loss: 0.0777
Epoch 102/500 - Loss: 0.0715
Epoch 103/500 - Loss: 0.0860
Epoch 104/500 - Loss: 0.0666
Epoch 105/500 - Loss: 0.0861
Epoch 106/500 - Loss: 0.0760
Epoch 107/500 - Loss: 0.0801
Epoch 108/500 - Loss: 0.0864
Epoch 109/500 - Loss: 0.0755
Epoch 110/500 - Loss: 0.0867
Epoch 111/500 - Loss: 0.0788
Epoch 112/500 - Loss: 0.0931
Epoch 113/500 - Loss: 0.0702
Epoch 114/500 - Loss: 0.0800
Epoch 115/500 - Loss: 0.0743
Epoch 116/500 - Loss: 0.0797
Epoch 117/500 - Loss: 0.0813
Epoch 118/500 - Loss: 0.0804
Epoch 119/500 - Loss: 0.0711
Epoch 120/500 - Loss: 0.0862
Epoch 121/500 - Loss: 0.0928
Epoch 122/500 - Loss: 0.0828
Epoch 123/500 - Loss: 0.0916
Epoch 124/500 - Loss: 0.0818
Epoch 125/500 - Loss: 0.0865
Epoch 126/500 - Loss: 0.0647
Epoch 127/500 - Loss: 0.0836
Epoch 128/500 - Loss: 0.0808
Epoch 129/500 - Loss: 0.1008
Epoch 130/500 - Loss: 0.0805
Epoch 131/500 - Loss: 0.0732
Epoch 132/500 - Loss: 0.0734
Epoch 133/500 - Loss: 0.0738
Epoch 134/500 - Loss: 0.0774
Epoch 135/500 - Loss: 0.0920
Epoch 136/500 - Loss: 0.0773
Epoch 137/500 - Loss: 0.0908
Epoch 138/500 - Loss: 0.0775
Epoch 139/500 - Loss: 0.0856
Epoch 140/500 - Loss: 0.0738
Epoch 141/500 - Loss: 0.0964
Epoch 142/500 - Loss: 0.0832
Epoch 143/500 - Loss: 0.0819
Epoch 144/500 - Loss: 0.0800
Epoch 145/500 - Loss: 0.0858
Epoch 146/500 - Loss: 0.0737
Epoch 147/500 - Loss: 0.0849
Epoch 148/500 - Loss: 0.0843
Epoch 149/500 - Loss: 0.0824
Epoch 150/500 - Loss: 0.0689
Epoch 151/500 - Loss: 0.0775
Epoch 152/500 - Loss: 0.0695
Epoch 153/500 - Loss: 0.0866
Epoch 154/500 - Loss: 0.0885
Epoch 155/500 - Loss: 0.0835
Epoch 156/500 - Loss: 0.0920
Epoch 157/500 - Loss: 0.0768
Epoch 158/500 - Loss: 0.0646
Epoch 159/500 - Loss: 0.0789
Epoch 160/500 - Loss: 0.0909
Epoch 161/500 - Loss: 0.0906
