nohup: ignoring input
/home/chiara/anaconda3/envs/MGS/lib/python3.12/site-packages/torch/nn/modules/transformer.py:306: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
DEVICE: cuda
Train dataset size: 2413
Test dataset size: 2413
Train dataset shape: torch.Size([72]), torch.Size([72])
Test dataset shape: torch.Size([72]), torch.Size([72])
Epoch 1/2000 - Loss: 0.2332
Epoch 2/2000 - Loss: 0.1589
Epoch 3/2000 - Loss: 0.1362
Epoch 4/2000 - Loss: 0.1403
Epoch 5/2000 - Loss: 0.1283
Epoch 6/2000 - Loss: 0.1332
Epoch 7/2000 - Loss: 0.1327
Epoch 8/2000 - Loss: 0.1308
Epoch 9/2000 - Loss: 0.1301
Epoch 10/2000 - Loss: 0.1316
Epoch 11/2000 - Loss: 0.1213
Epoch 12/2000 - Loss: 0.1290
Epoch 13/2000 - Loss: 0.1306
Epoch 14/2000 - Loss: 0.1311
Epoch 15/2000 - Loss: 0.1286
Epoch 16/2000 - Loss: 0.1210
Epoch 17/2000 - Loss: 0.1265
Epoch 18/2000 - Loss: 0.1172
Epoch 19/2000 - Loss: 0.1255
Epoch 20/2000 - Loss: 0.1234
Epoch 21/2000 - Loss: 0.1236
Epoch 22/2000 - Loss: 0.1258
Epoch 23/2000 - Loss: 0.1192
Epoch 24/2000 - Loss: 0.1196
Epoch 25/2000 - Loss: 0.1323
Epoch 26/2000 - Loss: 0.1192
Epoch 27/2000 - Loss: 0.1207
Epoch 28/2000 - Loss: 0.1176
Epoch 29/2000 - Loss: 0.1274
Epoch 30/2000 - Loss: 0.1242
Epoch 31/2000 - Loss: 0.1246
Epoch 32/2000 - Loss: 0.1226
Epoch 33/2000 - Loss: 0.1236
Epoch 34/2000 - Loss: 0.1158
Epoch 35/2000 - Loss: 0.1202
Epoch 36/2000 - Loss: 0.1211
Epoch 37/2000 - Loss: 0.1259
Epoch 38/2000 - Loss: 0.1256
Epoch 39/2000 - Loss: 0.1224
Epoch 40/2000 - Loss: 0.1140
Epoch 41/2000 - Loss: 0.1274
Epoch 42/2000 - Loss: 0.1202
Epoch 43/2000 - Loss: 0.1250
Epoch 44/2000 - Loss: 0.1140
Epoch 45/2000 - Loss: 0.1228
Epoch 46/2000 - Loss: 0.1236
Epoch 47/2000 - Loss: 0.1225
Epoch 48/2000 - Loss: 0.1119
Epoch 49/2000 - Loss: 0.1280
Epoch 50/2000 - Loss: 0.1204
Epoch 51/2000 - Loss: 0.1189
Epoch 52/2000 - Loss: 0.1141
Epoch 53/2000 - Loss: 0.1212
Epoch 54/2000 - Loss: 0.1258
Epoch 55/2000 - Loss: 0.1242
Epoch 56/2000 - Loss: 0.1183
Epoch 57/2000 - Loss: 0.1123
Epoch 58/2000 - Loss: 0.1192
Epoch 59/2000 - Loss: 0.1181
Epoch 60/2000 - Loss: 0.1134
Epoch 61/2000 - Loss: 0.1154
Epoch 62/2000 - Loss: 0.1222
Epoch 63/2000 - Loss: 0.1139
Epoch 64/2000 - Loss: 0.1262
Epoch 65/2000 - Loss: 0.1259
Epoch 66/2000 - Loss: 0.1213
Epoch 67/2000 - Loss: 0.1226
Epoch 68/2000 - Loss: 0.1181
Epoch 69/2000 - Loss: 0.1150
Epoch 70/2000 - Loss: 0.1198
Epoch 71/2000 - Loss: 0.1265
Epoch 72/2000 - Loss: 0.1276
Epoch 73/2000 - Loss: 0.1238
Epoch 74/2000 - Loss: 0.1181
Epoch 75/2000 - Loss: 0.1207
Epoch 76/2000 - Loss: 0.1224
Epoch 77/2000 - Loss: 0.1207
Epoch 78/2000 - Loss: 0.1257
Epoch 79/2000 - Loss: 0.1180
Epoch 80/2000 - Loss: 0.1134
Epoch 81/2000 - Loss: 0.1225
Epoch 82/2000 - Loss: 0.1209
Epoch 83/2000 - Loss: 0.1159
Epoch 84/2000 - Loss: 0.1199
Epoch 85/2000 - Loss: 0.1197
Epoch 86/2000 - Loss: 0.1220
Epoch 87/2000 - Loss: 0.1209
